OrderID,OrderDate,Region,Category,Product,Sales,Quantity,Profit,CustomerType
1001,2024-01-05,West,Electronics,Headphones,2500,2,400,New
1002,2024-01-07,North,Clothing,T-Shirt,1200,3,250,Returning
1003,2024-01-10,South,Electronics,Smartphone,18000,1,2500,New
1004,2024-01-12,East,Furniture,Chair,3500,2,700,Returning
1005,2024-01-15,West,Clothing,Jeans,2200,2,500,New
1006,2024-01-18,North,Electronics,Laptop,55000,1,6500,Returning
1007,2024-01-20,South,Furniture,Table,7000,1,1200,New
1008,2024-01-25,East,Electronics,Smartwatch,8000,2,1500,Returning
1009,2024-02-02,West,Clothing,Jacket,3000,1,600,New
1010,2024-02-05,North,Electronics,Tablet,15000,1,2200,Returning
1011,2024-02-09,South,Furniture,Sofa,25000,1,4000,New
1012,2024-02-12,East,Clothing,Shoes,2800,2,550,Returning
1013,2024-02-18,West,Electronics,Camera,32000,1,5000,New
1014,2024-02-21,North,Furniture,Bookshelf,6000,1,1000,Returning
1015,2024-02-25,South,Clothing,Hoodie,1800,2,350,New
1016,2024-03-01,East,Electronics,Speaker,4500,2,800,Returning
1017,2024-03-05,West,Furniture,Desk,9000,1,1600,New
1018,2024-03-08,North,Clothing,Cap,900,3,180,Returning
1019,2024-03-12,South,Electronics,Monitor,12000,1,2100,New
1020,2024-03-18,East,Furniture,Bed,30000,1,4500,Returning
